date,myr_usd,myr_rmb,myr_sgd,myr_eur,myr_jpy,myr_twd,myr_thb,myr_idr,myr_hkd,myr_krw,myr_vnd,myr_inr,myr_aud,myr_php,myr_aed,myr_sar,myr_try,myr_gbp,myr_brl,myr_mxn,myr_bdt,myr_chf,myr_cad,myr_rub
2020-02-03,0.2442837656,1.694278898,0.3332421274,0.2202780002,26.47352064,7.413035314,7.612859162,3330.351588,1.897031959,291.8873418,5662.986253,17.46543378,0.36495018,12.40057691,0.8971639034,0.9164061166,1.459605261,0.1853209876,1.046169636,4.608757507,20.31956283,0.2353332112,0.3234414904,15.60736325
2020-02-04,0.2431019694,1.706721648,0.3330083737,0.2197447309,26.40379098,7.351403498,7.553178114,3339.1271,1.887929844,289.1357547,5635.589854,17.33659868,0.3633540699,12.36416631,0.8927190433,0.9109922746,1.454624978,0.1870377867,1.03240543,4.573817624,20.2520863,0.2347635647,0.3231797443,15.47419374
2020-02-05,0.2434274703,1.70338371,0.3337390744,0.2203505473,26.642406,7.309640049,7.54381725,3335.542329,1.890555072,287.8481104,5656.524128,17.30769277,0.3616090642,12.35394412,0.8939143479,0.9121560978,1.455141205,0.1867819003,1.035467377,4.545104757,20.28872468,0.235946942,0.3233301122,15.31796589
2020-02-06,0.2428599149,1.693413561,0.3352195515,0.2207353821,26.66941942,7.273897363,7.526228707,3319.474301,1.885418682,287.4149854,5643.335843,17.28676882,0.3596966553,12.32635524,0.8918301709,0.9100264368,1.452520819,0.1868564187,1.02817177,4.514183126,20.23073563,0.2363755504,0.3226224105,15.26102526
2020-02-07,0.2427184582,1.691699109,0.3364296375,0.2209951537,26.69126397,7.288835466,7.56310712,3324.75744,1.88433751,287.4393341,5640.048813,17.3470885,0.3604374057,12.29854383,0.8913107135,0.9094427367,1.453325308,0.1877135967,1.039029143,4.524199229,20.22368703,0.2365291376,0.3224272037,15.35679696
2020-02-08,0.2427184582,1.691699109,0.3364296375,0.2209951537,26.69126397,7.288835466,7.56310712,3324.75744,1.88433751,287.4393341,5640.048813,17.3470885,0.3604374057,12.29854383,0.8913107135,0.9094427367,1.453325308,0.1877135967,1.039029143,4.524199229,20.22368703,0.2365291376,0.3224272037,15.35679696
2020-02-09,0.2427184582,1.691699109,0.3364296375,0.2209951537,26.69126397,7.288835466,7.56310712,3324.75744,1.88433751,287.4393341,5640.048813,17.3470885,0.3604374057,12.29854383,0.8913107135,0.9094427367,1.453325308,0.1877135967,1.039029143,4.524199229,20.22368703,0.2365291376,0.3224272037,15.35679696
2020-02-10,0.2415984124,1.691333812,0.3361358622,0.2206518247,26.49005712,7.290715302,7.576042968,3304.064498,1.876204951,287.7654448,5614.022309,17.27803197,0.3620907751,12.2852789,0.8873160526,0.9062114923,1.446435177,0.187407882,1.043801838,4.542110335,20.106469,0.2359595086,0.3215578315,15.49353779
2020-02-11,0.241248697,1.684760277,0.3350582465,0.2210561808,26.4809042,7.243733153,7.546017833,3303.07821,1.873585647,286.0316939,5605.895973,17.19620683,0.3606055176,12.25543363,0.8859134567,0.9037455854,1.448867327,0.1867506177,1.042429547,4.512001924,20.09784122,0.2357241054,0.321270882,15.4588065
2020-02-12,0.2420955747,1.686171473,0.3355541437,0.2217111214,26.59250478,7.250520224,7.550961105,3306.433315,1.87992059,285.8470799,5625.57487,17.25543449,0.3602077187,12.23139443,0.889023361,0.9069498334,1.456446928,0.1868517844,1.047676071,4.513145752,20.163448,0.2361884437,0.3217547149,15.33053253
